artists,song
Daughtry,Separate Ways (Worlds Apart) [feat. Lzzy Hale]
Taylor Swift,Anti-Hero
Sam Smith & Kim Petras,Unholy
Lainey Wilson,Heart Like A Truck
Sean Paul,Temperature
Meghan Trainor,Made You Look
Jelly Roll,Son Of A Sinner
Rihanna,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By)
Morgan Wallen,Thought You Should Know
HARDY & Lainey Wilson,wait in the truck
Lady Gaga,Bloody Mary
Kane Brown & Katelyn Brown,Thank God
Sia,Unstoppable
OneRepublic,I Ain't Worried
David Guetta & Bebe Rexha,I'm Good (Blue)
Zach Bryan,Something in the Orange (Z&E's Version)
Harry Styles,As It Was
Tom MacDonald,Ghost
Bailey Zimmerman,Rock and a Hard Place
Morgan Wallen,One Thing At A Time
Morgan Wallen,You Proof
JVKE,golden hour
Coi Leray,Players
Rema & Selena Gomez,Calm Down
Miles Guo,Papa (Version A)
Morgan Wallen,Wasted On You
Bazzi,Mine
David Guetta & Bebe Rexha,I'm Good (Blue)
"Metro Boomin, The Weeknd & 21 Savage",Creepin'
Lady Gaga,Hold My Hand
Mike Posner,Cooler Than Me (Single Mix)
Luke Grimes,No Horse To Ride
Beyoncé,CUFF IT
Bailey Zimmerman,Fall In Love
Brandon Lake,Gratitude
Luke Combs,The Kind of Love We Make
Elton John & Britney Spears,Hold Me Closer
Shania Twain,Giddy Up!
Chris Brown,Under the Influence
Old Dominion,Memory Lane
SZA,Kill Bill
Luke Combs,"Going, Going, Gone"
Jordan Davis,What My World Spins Around
Lizzo,About Damn Time
Sleep Token,The Summoning
Fuerza Regida & Grupo Frontera,Bebe Dame
Jelly Roll,NEED A FAVOR
Chris Stapleton,Tennessee Whiskey
Nate Smith,Wreckage
Lily Meola,Daydream
Bad Omens,Just Pretend
The Weeknd,Die For You
Carin Leon & Grupo Frontera,Que Vuelvas
French Montana,Yes I Do
Jax,Victoria’s Secret
Zach Bryan,Tishomingo
"French Montana, DJ Drama & Cheeze",New Punani
P!nk,Sober
MONSTA X,Beautiful Liar
Three Dog Night,Never Been to Spain
Lainey Wilson,Watermelon Moonshine
"French Montana, DJ Drama & EST Gee",Free Smoke (feat. BIG30)
Lil Uzi Vert,Just Wanna Rock
"French Montana, Smooky MarGielaa & A$AP Rocky",Chit Chat (feat. DJ Drama)
Ed Sheeran,Shivers
Dean Lewis,How Do I Say Goodbye
"French Montana, DJ Drama & Rob49",Igloo
Cole Swindell,She Had Me At Heads Carolina
Colton Dixon,Build a Boat
CeCe Winans,Goodness of God (Live)
Morgan Wallen,Chasin' You
Zach Bryan,Something in the Orange
Rachael Lampa,Perfectly Loved (feat. TobyMac)
TALK,Run Away to Mars
Phil Collins,In the Air Tonight
Lewis Capaldi,Forget Me
"French Montana, DJ Drama & Cheeze",Addicted to You
"French Montana, DJ Drama & Cheeze",Going Yeezy
Old Dominion,Easier Said with Rum
Adam Lambert,Holding Out for a Hero
"Chinx, DJ Drama & French Montana",The Oath
Megan Moroney,Tennessee Orange
The Monkees,I'm a Believer
"French Montana, DJ Drama & Jeremih",Choose You
"French Montana, Stove God Cooks & DJ Drama",Intro (feat. Cheeze)
"King Combs, French Montana & DJ Drama",Can't Stop Won't Stop (Remix) [feat. Kodak Black]
Everything But the Girl,Nothing Left To Lose
Elton John & Dua Lipa,Cold Heart (PNAU Remix)
"French Montana, DJ Drama & Mr.Chicken",Forever
Tyler Childers,Way of the Triune God (Hallelujah Version)
Brent Morgan,Kiss the Girl
Lauren Daigle,You Say
French Montana & DJ Drama,Not So Bad
"Vory, DJ Drama & French Montana",Project Baby (Remix)
Plain White T's,Hey There Delilah
Cody Johnson,'Til You Can't
Rema,Calm Down
"French Montana, DJ Drama & Benny the Butcher",RZA
French Montana,Yes I Do
French Montana & NAV,Fenty
